ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,91600,TEXTRANK.TXT,0.78277,0.94144,0.85481,1

ROUGE-2+StopWordRemoval,91600,TEXTRANK.TXT,0.76692,0.92308,0.83778,1

ROUGE-3+StopWordRemoval,91600,TEXTRANK.TXT,0.75472,0.90909,0.82474,1

ROUGE-1+StopWordRemoval,91284,TEXTRANK.TXT,0.88655,1.00000,0.93987,1

ROUGE-2+StopWordRemoval,91284,TEXTRANK.TXT,0.88186,0.99524,0.93512,1

ROUGE-3+StopWordRemoval,91284,TEXTRANK.TXT,0.87712,0.99043,0.93034,1

ROUGE-1+StopWordRemoval,98871,TEXTRANK.TXT,0.66387,0.70852,0.68547,1

ROUGE-2+StopWordRemoval,98871,TEXTRANK.TXT,0.59072,0.63063,0.61002,1

ROUGE-3+StopWordRemoval,98871,TEXTRANK.TXT,0.56780,0.60633,0.58643,1

ROUGE-1+StopWordRemoval,89928,TEXTRANK.TXT,0.96679,1.00000,0.98311,1

ROUGE-2+StopWordRemoval,89928,TEXTRANK.TXT,0.96667,1.00000,0.98305,1

ROUGE-3+StopWordRemoval,89928,TEXTRANK.TXT,0.96654,1.00000,0.98299,1

ROUGE-1+StopWordRemoval,90505,TEXTRANK.TXT,0.41395,0.54268,0.46966,1

ROUGE-2+StopWordRemoval,90505,TEXTRANK.TXT,0.28505,0.37423,0.32361,1

ROUGE-3+StopWordRemoval,90505,TEXTRANK.TXT,0.25822,0.33951,0.29333,1

ROUGE-1+StopWordRemoval,90229,TEXTRANK.TXT,0.95139,0.97163,0.96140,1

ROUGE-2+StopWordRemoval,90229,TEXTRANK.TXT,0.94432,0.96445,0.95428,1

ROUGE-3+StopWordRemoval,90229,TEXTRANK.TXT,0.93721,0.95724,0.94712,1

ROUGE-1+StopWordRemoval,90749,TEXTRANK.TXT,0.60181,0.80606,0.68912,1

ROUGE-2+StopWordRemoval,90749,TEXTRANK.TXT,0.51818,0.69512,0.59375,1

ROUGE-3+StopWordRemoval,90749,TEXTRANK.TXT,0.48858,0.65644,0.56021,1

ROUGE-1+StopWordRemoval,849,TEXTRANK.TXT,0.37826,0.42233,0.39908,1

ROUGE-2+StopWordRemoval,849,TEXTRANK.TXT,0.15284,0.17073,0.16129,1

ROUGE-3+StopWordRemoval,849,TEXTRANK.TXT,0.06579,0.07353,0.06944,1

ROUGE-1+StopWordRemoval,89882,TEXTRANK.TXT,0.46729,0.50761,0.48662,1

ROUGE-2+StopWordRemoval,89882,TEXTRANK.TXT,0.28169,0.30612,0.29340,1

ROUGE-3+StopWordRemoval,89882,TEXTRANK.TXT,0.22642,0.24615,0.23587,1

ROUGE-1+StopWordRemoval,4417,TEXTRANK.TXT,0.39076,0.42661,0.40789,1

ROUGE-2+StopWordRemoval,4417,TEXTRANK.TXT,0.21097,0.23041,0.22026,1

ROUGE-3+StopWordRemoval,4417,TEXTRANK.TXT,0.14407,0.15741,0.15044,1

ROUGE-1+StopWordRemoval,89761,TEXTRANK.TXT,0.86245,0.89575,0.87879,1

ROUGE-2+StopWordRemoval,89761,TEXTRANK.TXT,0.80970,0.84109,0.82510,1

ROUGE-3+StopWordRemoval,89761,TEXTRANK.TXT,0.77903,0.80934,0.79389,1

ROUGE-1+StopWordRemoval,90420,TEXTRANK.TXT,0.91011,0.99590,0.95108,1

ROUGE-2+StopWordRemoval,90420,TEXTRANK.TXT,0.90226,0.98765,0.94303,1

ROUGE-3+StopWordRemoval,90420,TEXTRANK.TXT,0.89434,0.97934,0.93491,1




ROUGE-1+StopWordRemoval,90267,TEXTRANK.TXT,0.96183,1.00000,0.98054,1

ROUGE-2+StopWordRemoval,90267,TEXTRANK.TXT,0.95785,0.99602,0.97656,1

ROUGE-3+StopWordRemoval,90267,TEXTRANK.TXT,0.95385,0.99200,0.97255,1

ROUGE-1+StopWordRemoval,9043,TEXTRANK.TXT,0.82126,0.99415,0.89947,1

ROUGE-2+StopWordRemoval,9043,TEXTRANK.TXT,0.81068,0.98235,0.88830,1

ROUGE-3+StopWordRemoval,9043,TEXTRANK.TXT,0.80000,0.97041,0.87701,1

